step	generator	AUROC	TPR_at_1pct_FPR
85	GLOBAL_TPR_AT_1FPR	-	0.7790
90	chatgpt	0.9964	0.9899
90	cohere	0.9826	0.8427
90	cohere-chat	0.9890	0.8667
90	gpt2	0.9879	0.8481
90	gpt3	0.9942	0.9071
90	gpt4	0.9968	0.9963
90	llama-chat	0.9966	0.9634
90	mistral	0.9827	0.7975
90	mistral-chat	0.9968	0.9727
90	mpt	0.9692	0.4425
90	mpt-chat	0.9960	0.9486
90	MACRO_AVG	0.9898	0.8705
90	GLOBAL_TPR_AT_1FPR	-	0.8564
95	chatgpt	0.9912	0.6596
95	cohere	0.9791	0.6513
95	cohere-chat	0.9848	0.6915
95	gpt2	0.9848	0.6900
95	gpt3	0.9889	0.7120
95	gpt4	0.9916	0.6572
95	llama-chat	0.9908	0.6737
95	mistral	0.9804	0.6508
95	mistral-chat	0.9917	0.7584
95	mpt	0.9596	0.3295
95	mpt-chat	0.9914	0.7382
95	MACRO_AVG	0.9849	0.6557
95	GLOBAL_TPR_AT_1FPR	-	0.6506
100	chatgpt	0.9949	0.9869
100	cohere	0.9770	0.8356
100	cohere-chat	0.9849	0.8502
100	gpt2	0.9896	0.8573
100	gpt3	0.9925	0.8917
100	gpt4	0.9951	0.9925
100	llama-chat	0.9945	0.9533
100	mistral	0.9818	0.8077
100	mistral-chat	0.9949	0.9655
100	mpt	0.9766	0.5225
100	mpt-chat	0.9950	0.9441
100	MACRO_AVG	0.9888	0.8734
100	GLOBAL_TPR_AT_1FPR	-	0.8627
105	chatgpt	0.9941	0.9847
105	cohere	0.9769	0.8446
105	cohere-chat	0.9855	0.8521
105	gpt2	0.9879	0.8524
105	gpt3	0.9922	0.8977
105	gpt4	0.9942	0.9876
105	llama-chat	0.9939	0.9510
105	mistral	0.9803	0.8040
105	mistral-chat	0.9943	0.9668
105	mpt	0.9748	0.5323
105	mpt-chat	0.9941	0.9415
105	MACRO_AVG	0.9880	0.8741
105	GLOBAL_TPR_AT_1FPR	-	0.8630
110	chatgpt	0.9915	0.8571
110	cohere	0.9775	0.8180
110	cohere-chat	0.9840	0.8210
110	gpt2	0.9865	0.8096
110	gpt3	0.9881	0.8383
110	gpt4	0.9926	0.9233
110	llama-chat	0.9918	0.9291
110	mistral	0.9815	0.8016
110	mistral-chat	0.9919	0.8925
110	mpt	0.9667	0.4593
110	mpt-chat	0.9901	0.7971
110	MACRO_AVG	0.9857	0.8134
110	GLOBAL_TPR_AT_1FPR	-	0.8026
115	chatgpt	0.9954	0.9888
115	cohere	0.9818	0.8457
115	cohere-chat	0.9883	0.8566
115	gpt2	0.9910	0.8792
115	gpt3	0.9937	0.9132
115	gpt4	0.9958	0.9933
115	llama-chat	0.9961	0.9619
115	mistral	0.9867	0.8300
115	mistral-chat	0.9960	0.9706
115	mpt	0.9799	0.5953
115	mpt-chat	0.9951	0.9550
115	MACRO_AVG	0.9909	0.8899
115	GLOBAL_TPR_AT_1FPR	-	0.8817
120	chatgpt	0.9944	0.9873
120	cohere	0.9798	0.8543
120	cohere-chat	0.9866	0.8712
120	gpt2	0.9893	0.8860
120	gpt3	0.9928	0.9135
120	gpt4	0.9946	0.9921
120	llama-chat	0.9945	0.9624
120	mistral	0.9851	0.8386
120	mistral-chat	0.9946	0.9712
120	mpt	0.9799	0.6199
120	mpt-chat	0.9944	0.9572
120	MACRO_AVG	0.9896	0.8958
120	GLOBAL_TPR_AT_1FPR	-	0.8880
125	chatgpt	0.9947	0.9906
125	cohere	0.9799	0.8536
125	cohere-chat	0.9870	0.8716
125	gpt2	0.9896	0.8953
125	gpt3	0.9933	0.9180
125	gpt4	0.9948	0.9948
125	llama-chat	0.9949	0.9624
125	mistral	0.9839	0.8412
125	mistral-chat	0.9951	0.9749
125	mpt	0.9805	0.6453
125	mpt-chat	0.9946	0.9616
125	MACRO_AVG	0.9898	0.9008
125	GLOBAL_TPR_AT_1FPR	-	0.8939
130	chatgpt	0.9989	0.9914
130	cohere	0.9779	0.8727
130	cohere-chat	0.9858	0.8922
130	gpt2	0.9906	0.9321
130	gpt3	0.9970	0.9744
130	gpt4	0.9992	0.9978
130	llama-chat	0.9991	0.9929
130	mistral	0.9840	0.8646
130	mistral-chat	0.9988	0.9886
130	mpt	0.9830	0.8944
130	mpt-chat	0.9984	0.9782
130	MACRO_AVG	0.9921	0.9436
130	GLOBAL_TPR_AT_1FPR	-	0.9430
135	chatgpt	0.9938	0.9813
135	cohere	0.9767	0.8371
135	cohere-chat	0.9844	0.8562
135	gpt2	0.9893	0.8676
135	gpt3	0.9922	0.9015
135	gpt4	0.9941	0.9843
135	llama-chat	0.9941	0.9604
135	mistral	0.9817	0.8148
135	mistral-chat	0.9943	0.9672
135	mpt	0.9803	0.5824
135	mpt-chat	0.9939	0.9447
135	MACRO_AVG	0.9886	0.8816
135	GLOBAL_TPR_AT_1FPR	-	0.8730
140	chatgpt	0.9894	0.5544
140	cohere	0.9779	0.6337
140	cohere-chat	0.9835	0.6279
140	gpt2	0.9871	0.6800
140	gpt3	0.9876	0.6432
140	gpt4	0.9899	0.6033
140	llama-chat	0.9896	0.6318
140	mistral	0.9815	0.6783
140	mistral-chat	0.9902	0.6696
140	mpt	0.9743	0.4074
140	mpt-chat	0.9897	0.6446
140	MACRO_AVG	0.9855	0.6158
140	GLOBAL_TPR_AT_1FPR	-	0.6171
145	chatgpt	0.9932	0.9843
145	cohere	0.9818	0.8775
145	cohere-chat	0.9870	0.8892
145	gpt2	0.9907	0.9104
145	gpt3	0.9918	0.9147
145	gpt4	0.9933	0.9888
145	llama-chat	0.9933	0.9647
145	mistral	0.9859	0.8676
145	mistral-chat	0.9936	0.9713
145	mpt	0.9816	0.6749
145	mpt-chat	0.9933	0.9599
145	MACRO_AVG	0.9896	0.9094
145	GLOBAL_TPR_AT_1FPR	-	0.9034
150	chatgpt	0.9958	0.9914
150	cohere	0.9840	0.8801
150	cohere-chat	0.9897	0.8959
150	gpt2	0.9932	0.9242
150	gpt3	0.9947	0.9278
150	gpt4	0.9960	0.9944
150	llama-chat	0.9962	0.9673
150	mistral	0.9890	0.8820
150	mistral-chat	0.9962	0.9775
150	mpt	0.9845	0.7609
150	mpt-chat	0.9957	0.9760
150	MACRO_AVG	0.9923	0.9252
150	GLOBAL_TPR_AT_1FPR	-	0.9217
155	chatgpt	0.9942	0.9428
155	cohere	0.9841	0.8509
155	cohere-chat	0.9895	0.8566
155	gpt2	0.9928	0.8892
155	gpt3	0.9933	0.8914
155	gpt4	0.9943	0.9536
155	llama-chat	0.9948	0.9585
155	mistral	0.9889	0.8601
155	mistral-chat	0.9948	0.9489
155	mpt	0.9829	0.6849
155	mpt-chat	0.9942	0.9190
155	MACRO_AVG	0.9913	0.8869
155	GLOBAL_TPR_AT_1FPR	-	0.8836
160	chatgpt	0.9960	0.9779
160	cohere	0.9861	0.8521
160	cohere-chat	0.9912	0.8678
160	gpt2	0.9940	0.8922
160	gpt3	0.9950	0.9053
160	gpt4	0.9960	0.9802
160	llama-chat	0.9966	0.9641
160	mistral	0.9898	0.8487
160	mistral-chat	0.9965	0.9659
160	mpt	0.9821	0.6567
160	mpt-chat	0.9960	0.9511
160	MACRO_AVG	0.9927	0.8965
160	GLOBAL_TPR_AT_1FPR	-	0.8910
165	chatgpt	0.9920	0.7834
165	cohere	0.9831	0.7768
165	cohere-chat	0.9881	0.7731
165	gpt2	0.9909	0.8194
165	gpt3	0.9912	0.8026
165	gpt4	0.9922	0.8028
165	llama-chat	0.9927	0.8766
165	mistral	0.9871	0.7761
165	mistral-chat	0.9929	0.8591
165	mpt	0.9792	0.5928
165	mpt-chat	0.9923	0.7982
165	MACRO_AVG	0.9893	0.7874
165	GLOBAL_TPR_AT_1FPR	-	0.7875
170	chatgpt	0.9965	0.9940
170	cohere	0.9858	0.8753
170	cohere-chat	0.9918	0.8903
170	gpt2	0.9944	0.9235
170	gpt3	0.9958	0.9301
170	gpt4	0.9964	0.9963
170	llama-chat	0.9968	0.9675
170	mistral	0.9908	0.8870
170	mistral-chat	0.9970	0.9820
170	mpt	0.9860	0.7810
170	mpt-chat	0.9966	0.9790
170	MACRO_AVG	0.9934	0.9278
170	GLOBAL_TPR_AT_1FPR	-	0.9253
175	chatgpt	0.9964	0.9918
175	cohere	0.9857	0.8738
175	cohere-chat	0.9916	0.8884
175	gpt2	0.9945	0.9199
175	gpt3	0.9955	0.9241
175	gpt4	0.9964	0.9929
175	llama-chat	0.9965	0.9663
175	mistral	0.9904	0.8779
175	mistral-chat	0.9967	0.9801
175	mpt	0.9873	0.7746
175	mpt-chat	0.9965	0.9749
175	MACRO_AVG	0.9934	0.9241
175	GLOBAL_TPR_AT_1FPR	-	0.9213
180	chatgpt	0.9968	0.9940
180	cohere	0.9865	0.8644
180	cohere-chat	0.9921	0.8824
180	gpt2	0.9948	0.9160
180	gpt3	0.9959	0.9237
180	gpt4	0.9968	0.9948
180	llama-chat	0.9969	0.9671
180	mistral	0.9902	0.8648
180	mistral-chat	0.9970	0.9805
180	mpt	0.9873	0.7655
180	mpt-chat	0.9968	0.9676
180	MACRO_AVG	0.9937	0.9201
180	GLOBAL_TPR_AT_1FPR	-	0.9168
185	chatgpt	0.9881	0.4557
185	cohere	0.9791	0.5157
185	cohere-chat	0.9845	0.4972
185	gpt2	0.9883	0.6133
185	gpt3	0.9870	0.5053
185	gpt4	0.9888	0.4723
185	llama-chat	0.9895	0.6032
185	mistral	0.9842	0.6183
185	mistral-chat	0.9892	0.5473
185	mpt	0.9789	0.4214
185	mpt-chat	0.9881	0.4946
185	MACRO_AVG	0.9860	0.5222
185	GLOBAL_TPR_AT_1FPR	-	0.5321
190	chatgpt	0.9904	0.6326
190	cohere	0.9824	0.7049
190	cohere-chat	0.9878	0.6885
190	gpt2	0.9906	0.7378
190	gpt3	0.9901	0.6989
190	gpt4	0.9913	0.7122
190	llama-chat	0.9921	0.8031
190	mistral	0.9864	0.7146
190	mistral-chat	0.9916	0.7453
190	mpt	0.9801	0.4717
190	mpt-chat	0.9904	0.6459
190	MACRO_AVG	0.9885	0.6869
190	GLOBAL_TPR_AT_1FPR	-	0.6870
195	chatgpt	0.9948	0.9390
195	cohere	0.9860	0.8551
195	cohere-chat	0.9917	0.8633
195	gpt2	0.9940	0.8845
195	gpt3	0.9945	0.8910
195	gpt4	0.9951	0.9547
195	llama-chat	0.9958	0.9617
195	mistral	0.9893	0.8480
195	mistral-chat	0.9956	0.9502
195	mpt	0.9846	0.6681
195	mpt-chat	0.9948	0.8974
195	MACRO_AVG	0.9924	0.8830
195	GLOBAL_TPR_AT_1FPR	-	0.8781
200	chatgpt	0.9946	0.9667
200	cohere	0.9852	0.8828
200	cohere-chat	0.9907	0.8907
200	gpt2	0.9941	0.9293
200	gpt3	0.9941	0.9195
200	gpt4	0.9951	0.9768
200	llama-chat	0.9954	0.9684
200	mistral	0.9899	0.9009
200	mistral-chat	0.9954	0.9693
200	mpt	0.9869	0.8080
200	mpt-chat	0.9949	0.9477
200	MACRO_AVG	0.9924	0.9236
200	GLOBAL_TPR_AT_1FPR	-	0.9227
