step	generator	AUROC	TPR_at_1pct_FPR
155	qwen1.5-72b-chat-8bit	1.0000	1.0000
155	text-bison-002	0.9992	0.9710
155	MACRO_AVG	0.9951	0.9416
155	GLOBAL_TPR_AT_1FPR	-	0.9433
160	deepseek-r1-distill-qwen-32b	0.9987	0.9623
160	falcon3-10b-instruct	0.9984	0.9912
160	gemini-1.5-pro	0.9582	0.8138
160	gemini-2.0-flash	0.9960	0.9353
160	gemini-pro	0.9968	0.8983
160	gemini-pro-paraphrase	0.9916	0.8429
160	gpt-3.5-turbo	0.9998	0.9900
160	gpt-4-turbo	0.9995	0.9841
160	gpt-4-turbo-paraphrase	0.9989	0.9661
160	gpt-4.5-preview	0.9896	0.8444
160	gpt-4o	0.9998	0.9904
160	gpt-4o-mini	0.9999	0.9953
160	llama-2-70b-chat	1.0000	1.0000
160	llama-2-7b-chat	0.9990	0.9722
160	llama-3.1-8b-instruct	0.9748	0.7911
160	llama-3.3-70b-instruct	0.9979	0.9630
160	ministral-8b-instruct-2410	0.9972	0.9424
160	mistral-7b-instruct-v0.2	0.9989	0.9412
160	mixtral-8x7b-instruct-v0.1	0.9980	0.9429
160	o3-mini	0.9992	0.9773
160	qwen1.5-72b-chat-8bit	1.0000	1.0000
160	text-bison-002	0.9992	0.9710
160	MACRO_AVG	0.9951	0.9416
160	GLOBAL_TPR_AT_1FPR	-	0.9433
165	deepseek-r1-distill-qwen-32b	0.9987	0.9623
165	falcon3-10b-instruct	0.9984	0.9912
165	gemini-1.5-pro	0.9582	0.8138
165	gemini-2.0-flash	0.9960	0.9353
165	gemini-pro	0.9968	0.8983
165	gemini-pro-paraphrase	0.9916	0.8429
165	gpt-3.5-turbo	0.9998	0.9900
165	gpt-4-turbo	0.9995	0.9841
165	gpt-4-turbo-paraphrase	0.9989	0.9661
165	gpt-4.5-preview	0.9896	0.8444
165	gpt-4o	0.9998	0.9904
165	gpt-4o-mini	0.9999	0.9953
165	llama-2-70b-chat	1.0000	1.0000
165	llama-2-7b-chat	0.9990	0.9722
165	llama-3.1-8b-instruct	0.9748	0.7911
165	llama-3.3-70b-instruct	0.9979	0.9630
165	ministral-8b-instruct-2410	0.9972	0.9424
165	mistral-7b-instruct-v0.2	0.9989	0.9412
165	mixtral-8x7b-instruct-v0.1	0.9980	0.9429
165	o3-mini	0.9992	0.9773
165	qwen1.5-72b-chat-8bit	1.0000	1.0000
165	text-bison-002	0.9992	0.9710
165	MACRO_AVG	0.9951	0.9416
165	GLOBAL_TPR_AT_1FPR	-	0.9433
