step	attack	AUROC
120	whitespace_addition	0.9954
120	upper_lower_swap	0.9951
120	zero_width_space	0.9963
120	insert_paragraphs	0.9879
120	alternative_spelling	0.9882
125	no_attack	0.9917
125	t5_paraphrase	1.0000
125	synonym_replacement	0.9969
125	homoglyphs	0.9983
125	article_deletion	0.9961
125	misspelling	0.9967
125	number_swap	0.9926
125	whitespace_addition	0.9978
125	upper_lower_swap	0.9981
125	zero_width_space	0.9984
125	insert_paragraphs	0.9905
125	alternative_spelling	0.9916
130	no_attack	0.9847
130	t5_paraphrase	0.9800
130	synonym_replacement	0.9889
130	homoglyphs	0.9910
130	article_deletion	0.9917
130	misspelling	0.9901
130	number_swap	0.9863
130	whitespace_addition	0.9909
130	upper_lower_swap	0.9895
130	zero_width_space	0.9905
130	insert_paragraphs	0.9847
130	alternative_spelling	0.9842
135	no_attack	0.9914
135	t5_paraphrase	1.0000
135	synonym_replacement	0.9972
135	homoglyphs	0.9976
135	article_deletion	0.9957
135	misspelling	0.9971
135	number_swap	0.9926
135	whitespace_addition	0.9974
135	upper_lower_swap	0.9977
135	zero_width_space	0.9975
135	insert_paragraphs	0.9900
135	alternative_spelling	0.9911
140	no_attack	0.9847
140	t5_paraphrase	0.9800
140	synonym_replacement	0.9902
140	homoglyphs	0.9914
140	article_deletion	0.9912
140	misspelling	0.9904
140	number_swap	0.9867
140	whitespace_addition	0.9914
140	upper_lower_swap	0.9905
140	zero_width_space	0.9912
140	insert_paragraphs	0.9851
140	alternative_spelling	0.9845
145	no_attack	0.9878
145	t5_paraphrase	0.9800
145	synonym_replacement	0.9900
145	homoglyphs	0.9919
145	article_deletion	0.9924
145	misspelling	0.9912
145	number_swap	0.9890
145	whitespace_addition	0.9918
145	upper_lower_swap	0.9910
145	zero_width_space	0.9916
145	insert_paragraphs	0.9863
145	alternative_spelling	0.9876
150	no_attack	0.9888
150	t5_paraphrase	1.0000
150	synonym_replacement	0.9918
150	homoglyphs	0.9935
150	article_deletion	0.9937
150	misspelling	0.9931
150	number_swap	0.9895
150	whitespace_addition	0.9935
150	upper_lower_swap	0.9932
150	zero_width_space	0.9933
150	insert_paragraphs	0.9876
150	alternative_spelling	0.9886
155	no_attack	0.9896
155	t5_paraphrase	1.0000
155	synonym_replacement	0.9930
155	homoglyphs	0.9948
155	article_deletion	0.9943
155	misspelling	0.9949
155	number_swap	0.9902
155	whitespace_addition	0.9945
155	upper_lower_swap	0.9946
155	zero_width_space	0.9942
155	insert_paragraphs	0.9877
155	alternative_spelling	0.9894
160	no_attack	0.9905
160	t5_paraphrase	1.0000
160	synonym_replacement	0.9939
160	homoglyphs	0.9956
160	article_deletion	0.9939
160	misspelling	0.9958
160	number_swap	0.9910
160	whitespace_addition	0.9943
160	upper_lower_swap	0.9951
160	zero_width_space	0.9942
160	insert_paragraphs	0.9880
160	alternative_spelling	0.9904
165	no_attack	0.9882
165	t5_paraphrase	0.9800
165	synonym_replacement	0.9901
