step	generator	AUROC	TPR_at_1pct_FPR
80	gpt2	0.9807	0.8264
80	gpt3	0.9949	0.9091
80	gpt4	0.9997	1.0000
80	llama-chat	0.9984	0.9421
80	mistral	0.9858	0.8017
80	mistral-chat	0.9991	0.9752
80	mpt	0.9725	0.4380
80	mpt-chat	0.9957	0.8678
80	MACRO_AVG	0.9913	0.8633
80	GLOBAL_TPR_AT_1FPR	-	0.8730
85	chatgpt	0.9977	0.9669
85	cohere	0.9779	0.8430
85	cohere-chat	0.9943	0.9008
85	gpt2	0.9824	0.8099
85	gpt3	0.9935	0.9091
85	gpt4	0.9988	0.9669
85	llama-chat	0.9967	0.9174
85	mistral	0.9835	0.8430
85	mistral-chat	0.9978	0.9421
85	mpt	0.9715	0.3967
85	mpt-chat	0.9950	0.8843
85	MACRO_AVG	0.9899	0.8527
85	GLOBAL_TPR_AT_1FPR	-	0.8062
90	chatgpt	0.9946	0.8430
90	cohere	0.9785	0.7934
90	cohere-chat	0.9923	0.7934
90	gpt2	0.9855	0.7521
90	gpt3	0.9923	0.8347
90	gpt4	0.9977	0.9091
90	llama-chat	0.9953	0.8595
90	mistral	0.9875	0.7851
90	mistral-chat	0.9957	0.8347
90	mpt	0.9715	0.4050
90	mpt-chat	0.9939	0.7521
90	MACRO_AVG	0.9895	0.7784
90	GLOBAL_TPR_AT_1FPR	-	0.7934
95	chatgpt	0.9957	0.9752
95	cohere	0.9805	0.8347
95	cohere-chat	0.9928	0.9174
95	gpt2	0.9855	0.8264
95	gpt3	0.9939	0.9008
95	gpt4	0.9970	0.9752
95	llama-chat	0.9962	0.9256
95	mistral	0.9903	0.8595
95	mistral-chat	0.9966	0.9587
95	mpt	0.9785	0.5124
95	mpt-chat	0.9946	0.9339
95	MACRO_AVG	0.9911	0.8745
95	GLOBAL_TPR_AT_1FPR	-	0.8700
100	chatgpt	0.9950	0.9256
100	cohere	0.9837	0.8347
100	cohere-chat	0.9924	0.8843
100	gpt2	0.9859	0.8182
100	gpt3	0.9945	0.9008
100	gpt4	0.9960	0.9339
100	llama-chat	0.9961	0.9174
100	mistral	0.9906	0.8678
100	mistral-chat	0.9960	0.9091
100	mpt	0.9777	0.4876
100	mpt-chat	0.9936	0.8843
100	MACRO_AVG	0.9910	0.8512
100	GLOBAL_TPR_AT_1FPR	-	0.7904
105	chatgpt	0.9917	0.8017
105	cohere	0.9803	0.7934
105	cohere-chat	0.9905	0.7851
105	gpt2	0.9841	0.7603
105	gpt3	0.9921	0.8595
105	gpt4	0.9924	0.8182
105	llama-chat	0.9923	0.8182
105	mistral	0.9889	0.8099
105	mistral-chat	0.9934	0.8264
105	mpt	0.9768	0.4215
105	mpt-chat	0.9913	0.8182
105	MACRO_AVG	0.9885	0.7739
105	GLOBAL_TPR_AT_1FPR	-	0.7303
110	chatgpt	0.9931	0.8926
110	cohere	0.9774	0.8430
110	cohere-chat	0.9908	0.8678
110	gpt2	0.9861	0.8099
