step	attack	AUROC
85	whitespace_addition	0.9965
85	upper_lower_swap	0.9974
85	zero_width_space	0.9983
85	insert_paragraphs	0.9928
85	alternative_spelling	0.9957
90	no_attack	0.9986
90	t5_paraphrase	1.0000
90	synonym_replacement	0.9981
90	homoglyphs	0.9992
90	article_deletion	0.9983
90	misspelling	0.9991
90	number_swap	0.9985
90	whitespace_addition	0.9989
90	upper_lower_swap	0.9991
90	zero_width_space	0.9993
90	insert_paragraphs	0.9971
90	alternative_spelling	0.9986
95	no_attack	0.9988
95	t5_paraphrase	1.0000
95	synonym_replacement	0.9982
95	homoglyphs	0.9986
95	article_deletion	0.9984
95	misspelling	0.9987
95	number_swap	0.9987
95	whitespace_addition	0.9986
95	upper_lower_swap	0.9985
95	zero_width_space	0.9987
95	insert_paragraphs	0.9979
95	alternative_spelling	0.9988
100	no_attack	0.9986
100	t5_paraphrase	1.0000
100	synonym_replacement	0.9982
100	homoglyphs	0.9989
100	article_deletion	0.9988
100	misspelling	0.9989
100	number_swap	0.9986
100	whitespace_addition	0.9987
100	upper_lower_swap	0.9987
100	zero_width_space	0.9989
100	insert_paragraphs	0.9979
100	alternative_spelling	0.9986
105	no_attack	0.9986
105	t5_paraphrase	1.0000
105	synonym_replacement	0.9988
105	homoglyphs	0.9990
105	article_deletion	0.9993
105	misspelling	0.9994
105	number_swap	0.9985
105	whitespace_addition	0.9988
105	upper_lower_swap	0.9989
105	zero_width_space	0.9992
105	insert_paragraphs	0.9980
105	alternative_spelling	0.9986
110	no_attack	0.9994
110	t5_paraphrase	1.0000
110	synonym_replacement	0.9993
110	homoglyphs	0.9994
110	article_deletion	0.9996
110	misspelling	0.9999
110	number_swap	0.9992
110	whitespace_addition	0.9996
110	upper_lower_swap	0.9996
110	zero_width_space	0.9996
110	insert_paragraphs	0.9988
110	alternative_spelling	0.9994
115	no_attack	0.9963
115	t5_paraphrase	1.0000
115	synonym_replacement	0.9944
115	homoglyphs	0.9971
115	article_deletion	0.9969
115	misspelling	0.9968
115	number_swap	0.9960
115	whitespace_addition	0.9975
115	upper_lower_swap	0.9960
115	zero_width_space	0.9968
115	insert_paragraphs	0.9953
